inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	4	4	4	4	4	4	4	4
2	2	2	2	2	2	2	2	8	8	8	8	8	8	8	8	2	2	2	2	2	2	2	2	8	8	8	8	8	8	8	8	2	2	2	2	8	8	8	8
1	1	1	1	2	2	2	2	1	1	1	1	2	2	2	2	1	1	1	1	2	2	2	2	1	1	1	1	2	2	2	2	1	1	1	1	1	1	1	1
round	mIoU (train)	mIoU (test same)	mIoU (test diff)	round	mIoU (train)	mIoU (test same)	mIoU (test diff)	round	mIoU (train)	mIoU (test same)	mIoU (test diff)	round	mIoU (train)	mIoU (test same)	mIoU (test diff)	round	mIoU (train)	mIoU (test same)	mIoU (test diff)	round	mIoU (train)	mIoU (test same)	mIoU (test diff)	round	mIoU (train)	mIoU (test same)	mIoU (test diff)	round	mIoU (train)	mIoU (test same)	mIoU (test diff)	round	mIoU (train)	mIoU (test same)	mIoU (test diff)	round	mIoU (train)	mIoU (test same)	mIoU (test diff)
14	0,34346	0,35438	0,27418	14	0,35176	0,35668	0,28668	14	0,3495	0,35689	0,27888	14	0,35236	0,35675	0,29477	14	0,34715	0,3554	0,28349	28	0,34622	0,35204	0,28398	14	0,34823	0,35869	0,28187	28	0,35297	0,35656	0,29399	14	0,34545	0,35153	0,26983	14	0,34756	0,35443	0,27629
15	0,34359	0,35185	0,27852	15	0,35091	0,35581	0,2848	15	0,35064	0,35985	0,28322	15	0,35381	0,35803	0,29806	15	0,34601	0,35369	0,28786	30	0,34506	0,35024	0,28275	15	0,34766	0,35677	0,28246	30	0,35385	0,35673	0,29638	15	0,34658	0,35098	0,27756	15	0,3456	0,3521	0,27656
16	0,34238	0,3489	0,27262	16	0,3508	0,35612	0,28195	16	0,3519	0,36116	0,28701	16	0,35324	0,35762	0,29407	16	0,3463	0,35114	0,28738	32	0,34684	0,35186	0,29319	16	0,34845	0,35778	0,27989	32	0,35319	0,35651	0,29038	16	0,34884	0,35557	0,27823	16	0,347	0,35386	0,28126
17	0,34419	0,34866	0,28247	17	0,35148	0,35624	0,29954	17	0,35206	0,36124	0,28912	17	0,3544	0,35835	0,29635	17	0,344	0,34901	0,27882	34	0,34762	0,35268	0,28622	17	0,34895	0,35676	0,28407	34	0,35325	0,35597	0,29308	17	0,34678	0,3557	0,27425	17	0,3473	0,35479	0,27763
18	0,34448	0,35003	0,2832	18	0,35041	0,35501	0,29182	18	0,35118	0,35795	0,28614	18	0,35323	0,35699	0,29509	18	0,3454	0,34985	0,28033	36	0,35123	0,35582	0,3093	18	0,34893	0,35598	0,28765	36	0,35364	0,35599	0,29242	18	0,34237	0,35038	0,26925	18	0,34747	0,35418	0,2787
19	0,34494	0,35222	0,28486	19	0,3497	0,3549	0,29289	19	0,3508	0,35721	0,28434	19	0,35325	0,35718	0,2938	19	0,3469	0,35321	0,28653	38	0,34948	0,35374	0,30048	19	0,34804	0,35547	0,28593	38	0,35413	0,35593	0,29913	19	0,34478	0,35249	0,26992	19	0,34804	0,35422	0,28152
20	0,34521	0,35154	0,28729	20	0,35106	0,35544	0,29128	20	0,35176	0,35766	0,28535	20	0,35282	0,35695	0,29375	20	0,34435	0,34764	0,27467	40	0,34815	0,35216	0,28895	20	0,3483	0,35562	0,28686	40	0,35313	0,35507	0,29652	20	0,34543	0,35398	0,27593	20	0,34603	0,35188	0,27831
21	0,34253	0,3463	0,27768	21	0,34846	0,35376	0,28778	21	0,35013	0,35649	0,2824	21	0,35284	0,35683	0,29339	21	0,34649	0,35082	0,27768	42	0,34665	0,34921	0,28957	21	0,34926	0,35578	0,28657	42	0,35222	0,35364	0,29595	21	0,34257	0,35003	0,271	21	0,34622	0,35181	0,27655
22	0,34489	0,34869	0,28436	22	0,34979	0,3543	0,28912	22	0,35067	0,35747	0,28665	22	0,35428	0,35786	0,29777	22	0,34632	0,34974	0,2793	44	0,34526	0,34878	0,28435	22	0,34861	0,35572	0,28203	44	0,35233	0,35467	0,29292	22	0,34692	0,35168	0,28006	22	0,34574	0,35126	0,27775
23	0,34482	0,34941	0,28527	23	0,34965	0,35407	0,28458	23	0,35096	0,35763	0,28665	23	0,35516	0,35848	0,29988	23	0,34912	0,354	0,29057	46	0,34833	0,35108	0,29295	23	0,34863	0,35379	0,28375	46	0,35131	0,35278	0,29072	23	0,3459	0,35113	0,28367	23	0,34728	0,35346	0,28162
24	0,34385	0,3476	0,2864	24	0,34894	0,35303	0,28354	24	0,35076	0,35698	0,28366	24	0,35513	0,35886	0,29733	24	0,34755	0,34986	0,28298	48	0,3454	0,34883	0,28234	24	0,35015	0,35626	0,28905	48	0,35246	0,35414	0,29542	24	0,34711	0,35226	0,29094	24	0,34807	0,35067	0,28603
